Id	Code	Name	Standard Class	Domain	Vocab	Validity	Concept
38003563	Hispanic	Hispanic or Latino	Ethnicity	Ethnicity	Ethnicity	Valid	Standard
38003564	Not Hispanic	Not Hispanic or Latino	Ethnicity	Ethnicity	Ethnicity	Valid	Standard
